20
11,7,6,6,6,12,11,7,12,7,12,7,5,13,1,6,6,6,6,12
9,10,1,6,6,6,2,4,12,9,13,3,10,5,4,6,6,6,6,5
9,15,4,1,5,7,8,9,13,0,6,0,6,3,3,6,6,0,5,9
10,6,0,8,14,9,7,0,5,10,5,9,13,6,6,6,5,4,2,9
7,12,9,7,1,0,2,10,3,5,4,3,6,6,6,5,9,10,8,15
9,7,3,3,3,3,0,6,12,9,9,7,6,6,6,2,10,6,15,15
9,10,6,12,11,11,4,6,6,2,9,9,7,6,12,9,15,15,15,15
9,7,6,6,0,2,9,7,6,0,8,9,9,7,6,0,5,15,15,15
9,9,11,11,14,9,10,8,11,9,13,8,9,4,12,9,14,15,15,15
10,2,10,3,6,0,6,6,8,4,6,6,8,10,6,3,5,15,15,15
15,4,1,6,12,9,13,6,1,2,7,6,6,6,6,5,4,5,15,15
15,9,10,6,5,9,7,6,8,9,9,7,6,6,5,9,9,10,12,15
7,2,7,6,8,9,10,6,5,9,9,9,7,5,9,9,10,6,5,11
10,2,10,6,5,4,6,6,8,9,10,2,14,9,14,10,6,12,4,8
15,9,13,6,8,9,15,15,15,4,12,4,6,3,6,1,1,6,0,12
15,4,6,5,13,2,7,6,6,8,7,3,6,6,5,9,9,11,9,15
7,8,15,4,5,9,10,6,6,6,3,6,6,12,9,9,9,4,0,12
14,15,15,13,8,13,6,6,6,6,6,6,6,6,8,15,15,14,14,15
